iSemana;cRetrabalho;nCdSetor;nCdEquipamento;nCdTurno;nCdProcedimento;nCdAtividade;nCdOrdemProducao;nCdProdutoProcesso;nCdProdutoFinal;iSeqAtividade;nCdProdutoPedido;iItemMetodo;cNmMetodo;cLinhaProducao;cCdRastreabilidade;iQtdeApontamentoAtividade;nMedidaOrdemProducao;iQtdeMaoObra;nTempoMetodo;nTempoImprodutivo;nTempoRetrabalho;nTempoSemMetodo;nTempoOcioso;nQtdeMetodo;nPesoLiquidoEntrada_prod;nValorArredondado;cObservacao;nCdSeqProdutivaFormula;cNmSeqProdutivaFormula;iVersaoSeqProdutivaFormula;nCdSeqProdutivaRoteiro;cNmSeqProdutivaFormulaRoteiro;iVersaoSeqProdutivaRoteiro;iPecaEntrada;nPesoLiquidoEntrada_cep;nMedidaEntrada;nCdProduto;Verifica_Formula_LAB_382;Verifica_Roteiros_LAB_382;nCdAtividadeMedicao_1306;nCdAtividadeMedicao_1317;nCdAtividadeMedicao_1340;nCdAtividadeMedicao_1355;nCdAtividadeMedicao_1356;nCdAtividadeMedicao_1427;nCdAtividadeMedicao_1428;nCdAtividadeMedicao_1441;nCdAtividadeMedicao_1444;cObservacao_origem;nCdEquipamento_origem;cNmLinhaProducao;nCdLinhaProducao;nPeca;nMedida;FlorSolta;Qtd_Flor_Solta;nCdLocalEstoque
51;0;172;1513;40.0;178;369;123907;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05169GQ;140;0.0;5;1.0;0.0;0.0;0.0;15.0;1.25;976.5;976.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123804;1495;CMG - CONTROLE SEMI;870;278.0;7440.721;True;4.0;[3956]
51;0;172;1513;40.0;178;369;123988;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05170GQ;72;3844.671;5;1.0;1.4;0.0;0.0;0.0;1.25;974.5;974.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123829;1495;CMG - CONTROLE SEMI;870;280.0;7475.749;True;4.0;[3956]
51;0;172;1513;40.0;178;369;123991;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05182GQ;142;7568.0;5;1.0;0.0;0.0;0.0;12.6;1.25;1015.5;1015.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123832;1495;CMG - CONTROLE SEMI;870;284.0;7568.001;True;15.0;[3956]
51;0;172;1513;40.0;178;369;123993;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05193GQ;130;7459.0;5;1.0;0.0;0.0;0.0;4.0;1.25;999.0;999.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123874;1495;CMG - CONTROLE SEMI;870;259.0;7430.311;True;12.0;[3956]
51;0;172;1513;40.0;178;369;123994;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05195GQ;134;0.0;5;1.0;0.0;0.0;0.0;8.2;1.25;1011.5;1011.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123890;1495;CMG - CONTROLE SEMI;870;268.0;7639.763999999999;True;19.0;[3956]
51;0;173;1518;40.0;141;335;123907;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05169GQ;140;0.0;9;1.0;0.0;0.0;0.0;15.0;1.25;976.5;976.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123804;1495;CMG - CONTROLE SEMI;870;278.0;7440.721;True;4.0;[3956]
51;0;173;1518;40.0;141;335;123988;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05170GQ;72;3844.671;9;1.0;0.0;0.0;0.0;2.6;1.25;974.5;974.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123829;1495;CMG - CONTROLE SEMI;870;280.0;7475.749;True;4.0;[3956]
51;0;173;1518;40.0;141;335;123991;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05182GQ;142;7568.0;9;1.0;0.0;0.0;0.0;13.6;1.25;1015.5;1015.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123832;1495;CMG - CONTROLE SEMI;870;284.0;7568.001;True;15.0;[3956]
51;0;173;1518;40.0;141;335;123993;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05193GQ;130;7459.0;9;1.0;0.0;0.0;0.0;4.0;1.25;999.0;999.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123874;1495;CMG - CONTROLE SEMI;870;259.0;7430.311;True;12.0;[3956]
51;0;173;1518;40.0;141;335;123994;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05195GQ;134;0.0;9;1.0;0.0;0.0;0.0;8.2;1.25;1011.5;1011.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123890;1495;CMG - CONTROLE SEMI;870;268.0;7639.763999999999;True;19.0;[3956]
